NAME,ADDRESS,CITY,STATE,ZIP5
ANCHORAGE HOUSING INITIATIVES,PO Box 202222,Anchorage,AK,99520
ANCHORAGE NEIGHBORHOOD HOUSING SERVICES,3700 Woodland Dr Ste 500,Anchorage,AK,99517
ANCHORAGE SENIOR CENTER,1300 E 19th Ave,Anchorage,AK,99501
"BOREALIS COMMUNITY LAND TRUST, INC",600 University Ave Ste 5B,Fairbanks,AK,99709
"CDI-ALASKA, INC.",10823 E Palmer Wasilla Hwy,Palmer,AK,99645
FAIRBANKS NEIGHBORHOOD HOUSING SERVICES,P.O. BOX 7116,FAIRBANKS,AK,99707
GRUENING PARK APARTMENTS,ALASKA HOUSING DEVELOPMENT CORP,JUNEAU,AK,99801
Habitat for Humanity Anchorage,900 E Benson Blvd,Anchorage,AK,99508
"HOUSING FIRST, INC.",1801 Douglas Hwy Ste 16,Douglas,AK,99824
"JUNEAU HOUSING TRUST, INC.",119 Seward St Ste 4,Juneau,AK,99801
"KENAI PENINSULA HOUSING INITIATIVES, INC.",PO Box 3288,Soldotna,AK,99669
"RURAL COMMUNITY ACTION PROGRAM, INC.",,ANCHORAGE,AK,99999
SHILOH COMMUNITY DEVELOPMENT CORPORATION,1928 Juneau Dr,Anchorage,AK,99501
SHILOH COMMUNITY HOUSING,1928 Juneau Dr,Anchorage,AK,99501
SITKA COMMUNITY DEVELOPMENT CORPORATION,PO Box 6164,Sitka,AK,99835
TLINGIT-HAIDA REGIONAL HOUSING AUTHORITY,PO Box 32237,Juneau,AK,99803
"VALLEY RESIDENTIAL SERVICES, INC.",PO Box 871874,Wasilla,AK,99687
"Wasilla Area Seniors, Inc.",1321 S Century Cir,Wasilla,AK,99654
ALABAMA A&M UNIVERSITY C D CORP,PO Box 1965,Normal,AL,35762
ALABAMA COUNCIL ON HUMAN RELATIONS,PO Box 3770,Auburn,AL,36831
"Alabama Council on Human Relations, Inc.",950 Shelton Rd,Auburn,AL,36830
ALETHEA HOUSE,PO Box 1514,Birmingham,AL,35201
"Aletheia House, Inc.",201 Finley Ave W,Birmingham,AL,35204
"BALDWIN HOUSING ALLIANCE, INC.",22070 Highway 59,Robertsdale,AL,36567
"BAY AREA WOMENS COALITION, INC.",2500 2nd Ave,Mobile,AL,36617
"BETHEL-ENSLEY ACTION TASK, INC","1524 AVENUE ""D"" ENSLEY",BIRMINGHAM,AL,35218
BIRMINGHAM URBAN REVITALIZATION PARTNERSHIP,1901 6th Ave N Ste 2600,Birmingham,AL,35203
Central Alabama Housing Alliance,4408 Lloyd Noland Pkwy,Fairfield,AL,35064
"CENTRAL ALABAMA OIC CENTER, INC",2035 Mobile Rd,Montgomery,AL,36108
COALITION FOR A DRUG FREE MOBILE COUNTY,251 N Bayou St,Mobile,AL,36603
"COLUMBUS HOUSING INITIATIVE, INC.",605 2nd Ave,Opelika,AL,36801
"COMMUNITY ACTION AGENCY OF CALHOUN, CLEBURNE & CHEROKEE COUNTIES, INC",CLEBURNE & CHEROKEE COUNTIES,ANNISTON,AL,36202
"COMMUNITY ACTION AGENCY OF NE ALABAMA, INC.",PO Box 1487,Rainsville,AL,35986
"COMMUNITY ACTION PARTNERSHIP OF NORTH ALABAMA, INC.",1909 Central Pkwy SW,Decatur,AL,35601
COMMUNITY HOUSING DEVELOPMENT CORP. OF ALABAMA,3700 Industrial Pkwy,Birmingham,AL,35217
"COMMUNITY SERVICE PROGRAM OF WEST ALABAMA, INC",601 Black Bears Way,Tuscaloosa,AL,35401
"CSCCC, INC",PO Box 1891,Anniston,AL,36202
"FAMILY SERVICES CENTER, INC.",600 Saint Clair Ave SW,Huntsville,AL,35801
"FAMILY SERVICES, INC.",600 Saint Clair Ave SW Ste 3,Huntsville,AL,35801
HABITAT FOR HUMANITY OF TUSCALOOSA,1120 35th St Ste B,Tuscaloosa,AL,35401
HANDICAPPED ENVIR LIVING,PO Box 231286,Montgomery,AL,36123
